train_loss_step,train_acc_step,epoch,step,train_loss_epoch,train_acc_epoch
0.03683137148618698,1.0,0,49,,
0.025309253484010696,1.0,0,99,,
0.04714571684598923,0.984375,0,149,,
0.004740752745419741,1.0,0,199,,
0.07134819775819778,0.96875,0,249,,
0.024643156677484512,0.984375,0,299,,
0.05834916979074478,0.96875,0,349,,
,,0,390,0.062448348850011826,0.9805600047111511
0.03662484511733055,0.984375,1,399,,
0.032124802470207214,0.984375,1,449,,
0.010427144356071949,1.0,1,499,,
0.0633598268032074,0.984375,1,549,,
0.0010704518062993884,1.0,1,599,,
0.021139690652489662,0.984375,1,649,,
0.0031828153878450394,1.0,1,699,,
0.006911144126206636,1.0,1,749,,
,,1,781,0.04367813840508461,0.9858800172805786
0.011183923110365868,1.0,2,799,,
0.012543626129627228,1.0,2,849,,
0.04834570363163948,0.984375,2,899,,
0.054956674575805664,0.984375,2,949,,
0.023115219548344612,0.984375,2,999,,
0.0728355124592781,0.953125,2,1049,,
0.010487264953553677,1.0,2,1099,,
0.03528545796871185,0.96875,2,1149,,
,,2,1172,0.037184685468673706,0.987280011177063
0.0009649684652686119,1.0,3,1199,,
0.010803479701280594,1.0,3,1249,,
0.04059195891022682,0.96875,3,1299,,
0.012676025740802288,1.0,3,1349,,
0.0060211895033717155,1.0,3,1399,,
0.0032995843794196844,1.0,3,1449,,
0.0034510830882936716,1.0,3,1499,,
0.0040967161767184734,1.0,3,1549,,
,,3,1563,0.026865307241678238,0.9906799793243408
