test_acc_step,step,test_acc_epoch,epoch
0.90625,0,,
0.96875,1,,
0.921875,2,,
0.953125,3,,
0.953125,4,,
0.890625,5,,
0.953125,6,,
0.984375,7,,
0.984375,8,,
0.921875,9,,
0.921875,10,,
0.921875,11,,
0.96875,12,,
0.953125,13,,
0.984375,14,,
0.96875,15,,
0.96875,16,,
0.953125,17,,
0.90625,18,,
0.953125,19,,
0.953125,20,,
0.9375,21,,
0.953125,22,,
0.90625,23,,
0.90625,24,,
0.953125,25,,
0.890625,26,,
0.984375,27,,
0.9375,28,,
0.9375,29,,
0.9375,30,,
0.953125,31,,
0.953125,32,,
0.90625,33,,
0.953125,34,,
0.90625,35,,
0.953125,36,,
0.9375,37,,
0.96875,38,,
0.921875,39,,
0.953125,40,,
0.9375,41,,
0.953125,42,,
0.921875,43,,
0.9375,44,,
0.96875,45,,
0.9375,46,,
0.953125,47,,
0.9375,48,,
0.9375,49,,
0.96875,50,,
0.9375,51,,
0.96875,52,,
0.96875,53,,
0.921875,54,,
0.921875,55,,
0.9375,56,,
0.921875,57,,
0.921875,58,,
0.921875,59,,
0.890625,60,,
0.890625,61,,
0.953125,62,,
0.953125,63,,
0.90625,64,,
0.890625,65,,
0.875,66,,
0.921875,67,,
0.953125,68,,
0.921875,69,,
0.9375,70,,
0.921875,71,,
0.953125,72,,
0.9375,73,,
0.90625,74,,
0.953125,75,,
0.90625,76,,
0.953125,77,,
1.0,78,,
,0,0.9377999901771545,0
